"('league', '')","('season', '')","('team', '')","('player', '')","('nation', '')","('pos', '')","('age', '')","('born', '')",minutes_90s,sca_total,sca_per_90,sca_types_pass_live,sca_types_pass_dead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_total,gca_per_90,gca_types_pass_live,gca_types_pass_dead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def
FRA-Ligue 1,2324,Nice,Alexis Claude-Maurice,FRA,MF,25-356,1998,5.6,14,2.5,9,3,0,1,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Aliou Badara Baldé,SEN,"FW,DF",21-167,2002,0.8,5,6.25,2,0,2,0,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Antoine Mendy,FRA,DF,20-000,2004,4.6,7,1.51,5,1,0,0,1,0,1,0.22,0,1,0,0,0,0
FRA-Ligue 1,2324,Nice,Badredine Bouanani,ALG,FW,19-171,2004,1.8,10,5.59,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Bilal Brahimi,ALG,FW,24-074,2000,0.1,1,8.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Dante,BRA,DF,40-222,1983,31.6,51,1.61,49,0,0,2,0,0,6,0.19,6,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Daouda Traoré,FRA,MF,17-310,2006,0.2,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Evann Guessand,FRA,FW,22-331,2001,17.3,47,2.72,27,0,7,5,6,2,5,0.29,1,0,1,0,3,0
FRA-Ligue 1,2324,Nice,Gaëtan Laborde,FRA,"FW,MF",30-024,1994,21.2,52,2.46,39,2,5,4,0,2,3,0.14,2,0,0,1,0,0
FRA-Ligue 1,2324,Nice,Hicham Boudaoui,ALG,MF,24-247,1999,17.9,47,2.62,35,2,2,5,3,0,3,0.17,3,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Jean-Clair Todibo,FRA,DF,24-149,1999,29.5,42,1.43,38,0,0,2,0,2,6,0.2,5,0,0,1,0,0
FRA-Ligue 1,2324,Nice,Jeremie Boga,CIV,FW,27-145,1997,22.2,80,3.6,43,16,14,6,1,0,11,0.5,6,2,3,0,0,0
FRA-Ligue 1,2324,Nice,Jordan Lotomba,SUI,DF,25-241,1998,20.0,27,1.35,19,3,1,2,2,0,1,0.05,1,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Khéphren Thuram,FRA,MF,23-062,2001,23.4,79,3.37,59,0,6,7,3,4,5,0.21,5,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Marcin Bułka,POL,GK,24-236,1999,34.0,3,0.09,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Melvin Bard,FRA,DF,23-203,2000,29.5,51,1.73,39,4,1,2,1,4,3,0.1,3,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Mohamed Ali Cho,FRA,FW,20-129,2004,9.6,34,3.56,20,4,5,0,5,0,4,0.42,3,0,0,0,1,0
FRA-Ligue 1,2324,Nice,Morgan Sanson,FRA,MF,29-283,1994,21.8,74,3.39,44,21,2,5,1,1,5,0.23,3,1,0,0,0,1
FRA-Ligue 1,2324,Nice,Pablo Rosario,NED,"MF,DF",27-141,1997,22.3,39,1.75,34,1,0,1,2,1,5,0.22,2,0,0,1,2,0
FRA-Ligue 1,2324,Nice,Reda Belahyane,FRA,MF,19-361,2004,0.3,2,6.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
