"('league', '')","('season', '')","('team', '')","('player', '')","('nation', '')","('pos', '')","('age', '')","('born', '')",minutes_90s,sca_total,sca_per_90,sca_types_pass_live,sca_types_pass_dead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_total,gca_per_90,gca_types_pass_live,gca_types_pass_dead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def
FRA-Ligue 1,2324,Rennes,Benjamin Bourigeaud,FRA,"MF,FW",30-134,1994,26.9,113,4.19,70,34,2,7,0,0,14,0.52,11,1,0,2,0,0
FRA-Ligue 1,2324,Rennes,Bertuğ Yıldırım,TUR,FW,21-320,2002,5.2,14,2.68,6,0,2,2,3,1,4,0.76,1,0,0,1,1,1
FRA-Ligue 1,2324,Rennes,Birger Meling,NOR,DF,29-162,1994,0.2,1,5.29,0,0,0,1,0,0,1,5.29,0,0,0,1,0,0
FRA-Ligue 1,2324,Rennes,Christopher Wooh,CMR,DF,22-252,2001,15.4,14,0.91,10,1,0,2,0,1,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Djaoui Cissé,FRA,MF,20-117,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Désiré Doué,FRA,"MF,FW",18-359,2005,18.1,88,4.87,56,4,14,4,7,3,12,0.66,6,0,3,1,1,1
FRA-Ligue 1,2324,Rennes,Enzo Le Fée,FRA,MF,24-114,2000,17.0,57,3.36,47,4,2,2,1,1,1,0.06,1,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Fabian Rieder,SUI,MF,22-101,2002,4.1,13,3.21,11,2,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Guela Doué,CIV,DF,21-223,2002,13.7,39,2.84,28,2,2,3,3,1,8,0.58,6,0,0,0,2,0
FRA-Ligue 1,2324,Rennes,Ibrahim Salah,MAR,"FW,MF",22-271,2001,5.8,17,2.93,13,0,1,3,0,0,1,0.17,1,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Jeanuël Belocian,FRA,DF,19-100,2005,16.1,15,0.93,11,2,0,2,0,0,1,0.06,1,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Jeremy Doku,BEL,FW,22-000,2002,1.2,9,7.23,5,0,2,2,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Jérémy Jacquet,FRA,MF,18-319,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Lorenz Assignon,TOG,DF,23-340,2000,11.2,38,3.38,27,3,4,0,2,2,6,0.53,3,0,2,0,1,0
FRA-Ligue 1,2324,Rennes,Lovro Majer,CRO,MF,26-131,1998,0.2,2,10.59,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Ludovic Blas,FRA,"FW,MF",26-148,1997,17.4,45,2.59,28,5,6,5,1,0,6,0.35,3,0,0,2,1,0
FRA-Ligue 1,2324,Rennes,Mahamadou Nagida,CMR,DF,18-334,2005,1.2,8,6.79,4,1,0,2,0,1,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Martin Terrier,FRA,"FW,MF",27-084,1997,17.0,51,3.01,35,0,1,6,7,2,7,0.41,6,0,0,1,0,0
FRA-Ligue 1,2324,Rennes,Mathis Lambourde,FRA,FW,18-139,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Nemanja Matić,SRB,MF,35-300,1988,11.4,29,2.54,23,1,1,1,2,1,2,0.18,1,0,0,0,1,0
FRA-Ligue 1,2324,Rennes,Steve Mandanda,FRA,GK,39-060,1985,34.0,3,0.09,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Warmed Omari,FRA,DF,24-034,2000,23.0,21,0.91,20,0,0,1,0,0,2,0.09,2,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Abakar Sylla,CIV,DF,21-154,2002,19.9,14,0.7,12,0,0,0,0,2,1,0.05,0,0,0,0,0,1
FRA-Ligue 1,2324,Strasbourg,Aboubacar Ali,FRA,"MF,FW",18-055,2006,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Alaa Bellaarouch,MAR,GK,22-147,2002,15.0,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Andrey Santos,BRA,MF,20-024,2004,9.2,19,2.06,14,0,3,1,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Dilane Bakwa,FRA,"FW,MF",21-275,2002,24.2,107,4.42,54,27,13,5,7,1,10,0.41,4,4,1,1,0,0
FRA-Ligue 1,2324,Strasbourg,Dion Moise Sahi,CIV,"MF,FW",22-159,2001,7.0,11,1.57,10,0,1,0,0,0,1,0.14,1,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Eduard Sobol,UKR,DF,29-037,1995,0.3,1,3.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Emanuel Emegha,NED,FW,21-114,2003,23.1,28,1.21,16,0,5,3,4,0,5,0.22,1,0,1,2,1,0
FRA-Ligue 1,2324,Strasbourg,Frederic Guilbert,FRA,"DF,MF",29-155,1994,27.7,42,1.52,25,10,2,3,1,1,2,0.07,1,0,1,0,0,0
FRA-Ligue 1,2324,Strasbourg,Gerzino Nyamsi,FRA,DF,27-126,1997,12.1,10,0.82,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Habib Diarra,SEN,"MF,FW",20-145,2004,25.6,51,1.99,38,0,5,1,4,3,4,0.16,2,0,1,0,1,0
FRA-Ligue 1,2324,Strasbourg,Ibrahima Sissoko,MLI,MF,26-213,1997,18.2,35,1.92,26,0,3,2,2,2,3,0.16,1,0,0,2,0,0
FRA-Ligue 1,2324,Strasbourg,Ismaël Doukouré,FRA,"MF,DF",20-308,2003,18.4,24,1.3,19,1,0,0,1,3,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Jean-Ricner Bellegarde,FRA,"MF,FW",25-335,1998,3.0,6,2.01,4,0,2,0,0,0,3,1.0,2,0,1,0,0,0
FRA-Ligue 1,2324,Strasbourg,Jessy Deminguet,FRA,"MF,FW",26-141,1998,7.7,8,1.04,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Junior Mwanga,FRA,"MF,FW",21-016,2003,16.1,32,1.98,24,1,1,3,2,1,3,0.19,3,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Jérémy Sebas,MTQ,"FW,MF",21-043,2003,4.4,10,2.24,6,0,2,1,1,0,3,0.67,1,0,1,0,1,0
FRA-Ligue 1,2324,Strasbourg,Kévin Gameiro,FRA,"FW,MF",37-018,1987,15.0,52,3.48,43,0,2,6,1,0,5,0.33,2,0,0,3,0,0
FRA-Ligue 1,2324,Strasbourg,Lebo Mothiba,RSA,FW,28-120,1996,6.9,12,1.75,8,0,1,1,2,0,1,0.15,0,0,0,1,0,0
FRA-Ligue 1,2324,Strasbourg,Lucas Perrin,FRA,DF,25-190,1998,30.3,14,0.46,12,0,0,1,1,0,1,0.03,1,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Marvin Senaya,TOG,"DF,MF",23-120,2001,23.8,42,1.77,27,4,3,2,3,3,3,0.13,1,1,0,0,0,1
FRA-Ligue 1,2324,Strasbourg,Matz Sels,BEL,GK,32-091,1992,19.0,2,0.11,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Mohamed Bechikh,FRA,"FW,MF",18-319,2005,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Patrick Ouotro,CIV,FW,18-257,2005,0.1,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Strasbourg,Rabby Nzingoula,CGO,"MF,FW",18-184,2005,1.5,3,2.03,2,0,0,0,1,0,1,0.68,1,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Saidou Sow,GUI,DF,21-328,2002,8.0,5,0.63,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Sanjin Prcić,BIH,MF,30-189,1993,1.0,4,4.09,4,0,0,0,0,0,1,1.02,1,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Steven Baseya,FRA,DF,19-134,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Thomas Delaine,FRA,"DF,MF",32-064,1992,22.7,49,2.16,34,8,4,1,2,0,6,0.26,1,2,1,0,2,0
FRA-Ligue 1,2324,Strasbourg,Ângelo Borges,BRA,"FW,MF",19-158,2004,12.2,54,4.45,43,2,5,1,2,1,6,0.49,5,0,0,0,1,0
FRA-Ligue 1,2324,Toulouse,Aron Dønnum,NOR,"FW,MF",26-037,1998,17.7,53,2.99,30,4,3,7,7,2,4,0.23,3,0,0,0,1,0
FRA-Ligue 1,2324,Toulouse,Christian Mawissa,FRA,DF,19-039,2005,12.4,15,1.21,12,0,1,1,0,1,1,0.08,1,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Cristian Cásseres Jr.,VEN,MF,24-128,2000,21.6,37,1.71,26,5,1,2,0,3,4,0.18,4,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Denis Genreau,AUS,"MF,FW",25-006,1999,5.2,13,2.52,12,0,0,1,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Fares Chaïbi,ALG,"FW,MF",21-181,2002,0.6,3,4.66,2,1,0,0,0,0,1,1.55,0,1,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Frank Magri,CMR,"FW,MF",24-266,1999,16.0,32,2.0,21,1,4,2,4,0,3,0.19,2,0,0,1,0,0
FRA-Ligue 1,2324,Toulouse,Gabriel Suazo,CHI,DF,26-292,1997,26.2,83,3.17,62,11,2,1,2,5,9,0.34,8,0,0,0,0,1
FRA-Ligue 1,2324,Toulouse,Gelabert,ESP,"MF,FW",23-209,2000,8.4,21,2.5,15,3,1,1,1,0,3,0.36,2,1,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Guillaume Restes,FRA,GK,19-077,2005,34.0,2,0.06,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Ibrahim Cissoko,NED,"FW,MF",21-062,2003,2.7,15,5.58,9,0,5,0,0,1,1,0.37,1,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Kévin Keben Biakolo,CMR,DF,20-122,2004,5.8,4,0.69,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Logan Costa,CPV,DF,23-056,2001,29.4,21,0.71,21,0,0,0,0,0,2,0.07,2,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Mamady Bangré,BFA,"FW,MF",22-347,2001,1.1,7,6.24,6,0,1,0,0,0,1,0.89,1,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Mikkel Desler,DEN,DF,29-098,1995,17.2,29,1.69,18,2,1,5,2,1,2,0.12,1,0,0,1,0,0
FRA-Ligue 1,2324,Toulouse,Moussa Diarra,MLI,DF,23-199,2000,15.5,21,1.35,17,1,0,1,2,0,6,0.39,4,0,0,0,2,0
FRA-Ligue 1,2324,Toulouse,Naatan Skyttä,FIN,"MF,FW",22-020,2002,1.3,10,7.5,7,1,1,1,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Niklas Schmidt,GER,MF,26-087,1998,14.1,48,3.4,34,10,2,1,1,0,3,0.21,2,1,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Rasmus Nicolaisen,DEN,DF,27-072,1997,32.5,16,0.49,8,0,1,4,1,2,1,0.03,1,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Shavy Babicka,GAB,"FW,MF",23-361,2000,4.1,9,2.17,7,0,0,2,0,0,2,0.48,2,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Stijn Spierings,NED,MF,28-076,1996,16.8,41,2.44,34,1,1,3,1,1,3,0.18,3,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Thijs Dallinga,NED,FW,23-298,2000,27.9,49,1.76,33,0,4,8,2,2,9,0.32,6,0,0,2,1,0
FRA-Ligue 1,2324,Toulouse,Vincent Sierro,SUI,MF,28-232,1995,25.1,76,3.03,37,23,3,7,4,2,8,0.32,3,3,1,0,1,0
FRA-Ligue 1,2324,Toulouse,Waren Kamanzi,NOR,"DF,FW",23-198,2000,13.2,23,1.74,19,2,0,1,0,1,3,0.23,3,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Yanis Begraoui,MAR,"FW,MF",22-328,2001,3.3,7,2.11,3,0,0,0,3,1,1,0.3,1,0,0,0,0,0
FRA-Ligue 1,2324,Toulouse,Yann Gboho,FRA,"MF,FW",23-134,2001,13.3,39,2.94,27,0,7,1,4,0,7,0.53,5,0,0,0,2,0
FRA-Ligue 1,2324,Toulouse,Zakaria Aboukhlal,MAR,"MF,FW",24-099,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0
