,league,season,team,players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
180,ITA-Serie A,2324,Napoli,29,36,18661,21912,85.2,319707,102430,8735,9500,91.9,7680,8639,88.9,1764,2753,64.1,35,41.1,37.0,-6.1,471,1444,377,78,1671,/en/squads/d48ad4ff/Napoli-Stats
181,ITA-Serie A,2324,Napoli,29,36,18661,21912,85.2,319707,102430,8735,9500,91.9,7680,8639,88.9,1764,2753,64.1,35,41.1,37.0,-6.1,471,1444,377,78,1671,/en/squads/d48ad4ff/Napoli-Stats
182,ITA-Serie A,2324,Roma,30,36,16136,19426,83.1,281808,94453,7245,7999,90.6,7167,8121,88.3,1408,2439,57.7,42,32.4,29.4,9.6,331,1152,292,83,1379,/en/squads/cf74a709/Roma-Stats
183,ITA-Serie A,2324,Roma,30,36,16136,19426,83.1,281808,94453,7245,7999,90.6,7167,8121,88.3,1408,2439,57.7,42,32.4,29.4,9.6,331,1152,292,83,1379,/en/squads/cf74a709/Roma-Stats
184,ITA-Serie A,2324,Salernitana,38,36,11437,15016,76.2,198840,74755,5330,6075,87.7,4552,5531,82.3,1171,2437,48.1,24,21.6,17.9,2.4,298,836,203,74,1056,/en/squads/c5577084/Salernitana-Stats
185,ITA-Serie A,2324,Salernitana,38,36,11437,15016,76.2,198840,74755,5330,6075,87.7,4552,5531,82.3,1171,2437,48.1,24,21.6,17.9,2.4,298,836,203,74,1056,/en/squads/c5577084/Salernitana-Stats
186,ITA-Serie A,2324,Sassuolo,30,36,11455,14967,76.5,211796,79457,4762,5530,86.1,5064,6003,84.4,1328,2650,50.1,28,25.2,24.3,2.8,328,953,238,55,1242,/en/squads/e2befd26/Sassuolo-Stats
187,ITA-Serie A,2324,Sassuolo,30,36,11455,14967,76.5,211796,79457,4762,5530,86.1,5064,6003,84.4,1328,2650,50.1,28,25.2,24.3,2.8,328,953,238,55,1242,/en/squads/e2befd26/Sassuolo-Stats
188,ITA-Serie A,2324,Torino,30,36,13809,17299,79.8,243630,85710,6096,6889,88.5,6038,6994,86.3,1279,2482,51.5,26,28.4,27.8,-2.4,324,988,264,97,1274,/en/squads/105360fe/Torino-Stats
189,ITA-Serie A,2324,Torino,30,36,13809,17299,79.8,243630,85710,6096,6889,88.5,6038,6994,86.3,1279,2482,51.5,26,28.4,27.8,-2.4,324,988,264,97,1274,/en/squads/105360fe/Torino-Stats
190,ITA-Serie A,2324,Udinese,32,35,9298,12317,75.5,171464,70337,4053,4737,85.6,3874,4715,82.2,1130,2172,52.0,21,25.4,22.1,-4.4,309,793,177,72,948,/en/squads/04eea015/Udinese-Stats
191,ITA-Serie A,2324,Udinese,32,35,9298,12317,75.5,171464,70337,4053,4737,85.6,3874,4715,82.2,1130,2172,52.0,21,25.4,22.1,-4.4,309,793,177,72,948,/en/squads/04eea015/Udinese-Stats
