date,home_team,away_team,game_id,url,stage
2000-08-26 19:00:00,Strasbourg,Sedan,5539,https://www.whoscored.com/Matches/5539/Live/France-Ligue-1-2000-2001-Strasbourg-Sedan,
2000-08-26 19:00:00,Toulouse,Nantes,5540,https://www.whoscored.com/Matches/5540/Live/France-Ligue-1-2000-2001-Toulouse-Nantes,
2000-08-27 17:45:00,Auxerre,Saint-Etienne,5645,https://www.whoscored.com/Matches/5645/Live/France-Ligue-1-2000-2001-Auxerre-Saint-Etienne,
2000-08-27 19:45:00,Paris Saint-Germain,SC Bastia,5649,https://www.whoscored.com/Matches/5649/Live/France-Ligue-1-2000-2001-Paris-Saint-Germain-SC-Bastia,
2000-09-05 19:45:00,Monaco,Marseille,5907,https://www.whoscored.com/Matches/5907/Live/France-Ligue-1-2000-2001-Monaco-Marseille,
2000-09-06 19:00:00,Guingamp,Toulouse,5970,https://www.whoscored.com/Matches/5970/Live/France-Ligue-1-2000-2001-Guingamp-Toulouse,
2000-09-06 19:00:00,Lens,Auxerre,5968,https://www.whoscored.com/Matches/5968/Live/France-Ligue-1-2000-2001-Lens-Auxerre,
2000-09-06 19:00:00,Metz,Strasbourg,5972,https://www.whoscored.com/Matches/5972/Live/France-Ligue-1-2000-2001-Metz-Strasbourg,
2000-09-06 19:00:00,Nantes,Bordeaux,5969,https://www.whoscored.com/Matches/5969/Live/France-Ligue-1-2000-2001-Nantes-Bordeaux,
2000-09-06 19:00:00,SC Bastia,Lille,5971,https://www.whoscored.com/Matches/5971/Live/France-Ligue-1-2000-2001-SC-Bastia-Lille,
2000-09-06 19:00:00,Saint-Etienne,Lyon,5967,https://www.whoscored.com/Matches/5967/Live/France-Ligue-1-2000-2001-Saint-Etienne-Lyon,
2000-09-06 19:00:00,Troyes,Paris Saint-Germain,5973,https://www.whoscored.com/Matches/5973/Live/France-Ligue-1-2000-2001-Troyes-Paris-Saint-Germain,
2000-09-09 19:00:00,Auxerre,Nantes,6141,https://www.whoscored.com/Matches/6141/Live/France-Ligue-1-2000-2001-Auxerre-Nantes,
2000-09-09 19:00:00,Bordeaux,Guingamp,6144,https://www.whoscored.com/Matches/6144/Live/France-Ligue-1-2000-2001-Bordeaux-Guingamp,
2000-09-09 19:00:00,Lille,Troyes,6142,https://www.whoscored.com/Matches/6142/Live/France-Ligue-1-2000-2001-Lille-Troyes,
2000-09-09 19:00:00,Lyon,Lens,6143,https://www.whoscored.com/Matches/6143/Live/France-Ligue-1-2000-2001-Lyon-Lens,
2000-09-09 16:15:00,Paris Saint-Germain,Saint-Etienne,6092,https://www.whoscored.com/Matches/6092/Live/France-Ligue-1-2000-2001-Paris-Saint-Germain-Saint-Etienne,
2000-09-09 19:00:00,Rennes,Metz,6145,https://www.whoscored.com/Matches/6145/Live/France-Ligue-1-2000-2001-Rennes-Metz,
2000-09-09 14:00:00,Sedan,Monaco,6052,https://www.whoscored.com/Matches/6052/Live/France-Ligue-1-2000-2001-Sedan-Monaco,
2000-09-09 19:00:00,Strasbourg,SC Bastia,6146,https://www.whoscored.com/Matches/6146/Live/France-Ligue-1-2000-2001-Strasbourg-SC-Bastia,
2000-09-10 19:30:00,Toulouse,Marseille,6269,https://www.whoscored.com/Matches/6269/Live/France-Ligue-1-2000-2001-Toulouse-Marseille,
2000-09-16 19:00:00,Guingamp,Auxerre,6510,https://www.whoscored.com/Matches/6510/Live/France-Ligue-1-2000-2001-Guingamp-Auxerre,
2000-09-16 16:15:00,Lens,Paris Saint-Germain,6489,https://www.whoscored.com/Matches/6489/Live/France-Ligue-1-2000-2001-Lens-Paris-Saint-Germain,
2000-09-16 19:00:00,Marseille,Bordeaux,6506,https://www.whoscored.com/Matches/6506/Live/France-Ligue-1-2000-2001-Marseille-Bordeaux,
2000-09-16 19:00:00,Metz,Sedan,6509,https://www.whoscored.com/Matches/6509/Live/France-Ligue-1-2000-2001-Metz-Sedan,
2000-09-16 19:00:00,Monaco,Toulouse,6507,https://www.whoscored.com/Matches/6507/Live/France-Ligue-1-2000-2001-Monaco-Toulouse,
2000-09-16 19:00:00,SC Bastia,Rennes,6511,https://www.whoscored.com/Matches/6511/Live/France-Ligue-1-2000-2001-SC-Bastia-Rennes,
2000-09-16 19:00:00,Troyes,Strasbourg,6508,https://www.whoscored.com/Matches/6508/Live/France-Ligue-1-2000-2001-Troyes-Strasbourg,
2000-09-17 17:30:00,Nantes,Lyon,6621,https://www.whoscored.com/Matches/6621/Live/France-Ligue-1-2000-2001-Nantes-Lyon,
2000-09-17 19:45:00,Saint-Etienne,Lille,6640,https://www.whoscored.com/Matches/6640/Live/France-Ligue-1-2000-2001-Saint-Etienne-Lille,
2000-09-23 16:15:00,Auxerre,Marseille,6829,https://www.whoscored.com/Matches/6829/Live/France-Ligue-1-2000-2001-Auxerre-Marseille,
